source_id,ra(deg),ra_error(mas),dec(deg),dec_error(mas),parallax(mas),parallax_error(mas),pmra(mas.yr**-1),pmra_error(mas.yr**-1),pmdec(mas.yr**-1),pmdec_error(mas.yr**-1),radial_velocity(km.s**-1),radial_velocity_error(km.s**-1),teff_val(K),radius_val(solRad),lum_val(solLum)
3219706982018284288,88.15299772315846,1.6348807499140092,1.1754153114144528,1.722989781288199,-1.2195814823356073,1.3401389238056127,-0.544045123395348,3.2132217032186854,2.9668330040848545,3.3763583610833114,,,,,
3219573387061034624,87.57082376179179,0.40989931780761246,0.692626071777955,0.3839580459578281,-0.09166223940094226,0.3900527753385796,1.7084305567544202,0.790544847931219,0.04163760090714293,0.8067537911255057,,,,,
3219691412762937344,88.14139233542478,0.6354550315873803,1.0048726016193867,0.5810586914976356,-0.9726011360484607,1.0842173353041271,0.22058668299822998,1.96630634556236,-9.543638339526069,2.652150514856532,,,,,
3219621117032571392,87.07793042049268,0.13012430386652124,0.713532243648345,0.1199192183619667,0.97549793036111,0.15191749876667632,3.4069180506925356,0.39929641559875106,-7.376785120516184,0.44574834072598735,,,,,
3219657156103501952,87.77263200041561,0.9371670068514973,0.7380828168017952,1.0451113154002794,1.5336846256032803,1.5171878107224972,15.38637892346214,1.580435663186001,-3.8943721844463592,1.4135118817531673,,,,,
3219738760481580800,87.65092476060967,0.6804678641956609,1.2713390868048815,0.6925962080476926,0.18477698415381572,0.8042735275522349,1.509046822599329,1.7045820203733701,0.3473158972144735,1.9194662284448942,,,,,
3219730823386911616,87.7349852719073,0.2934810864432369,1.073849233065411,0.3030342961450225,1.2557771522067847,0.35180613761705143,-0.5525483433370802,0.6175001927775148,1.5949921784810843,0.667879245549403,,,,,
3219622074809339648,87.07410860684885,0.16163871503591826,0.7540562831412994,0.15746774010387943,0.7193673477172504,0.19162063297026433,0.47864605176844044,0.3543798789244252,-5.461747934943582,0.34702380145809675,,,,,
3219662447502137344,88.05018205184261,0.4209207575537408,0.8788097097661143,0.44301527185715406,-0.2624315568249379,0.6226657520759242,-0.8695815155735295,0.9643784211856019,-2.7824763316128203,1.1939030022891612,,,,,
3219703786563678976,88.42194249063628,0.11552749349808206,1.2848835771444063,0.14293535797621812,0.0384120751286231,0.1933702904447984,-1.4732902239873018,0.19976176192526532,2.2461574314263544,0.17102417774237427,,,,,
3219730449720591232,87.5275657391317,0.2772488727675606,1.1600529200485645,0.31140115902139814,2.4109195122589338,0.383367750517057,-1.1813919939677837,0.5470640151120509,1.020844282105856,0.5914216062188983,,,,,
