designation,ra,ra_error,dec,dec_error,l,b
"Gaia DR2 3206826649977337088",79.60845344467977,0.042680196558716604,-7.969654085429228,0.03665873950861867,209.4810017649777,-24.27773774717549
"Gaia DR2 3206755181721706496",79.99783738900605,0.1278382169115196,-8.304348780245329,0.12286404769031059,209.9965486967618,-24.079238154604166
"Gaia DR2 3206844379602331008",79.45453918949285,0.03712504433512411,-7.787346171428388,0.03445258429254315,209.2275803335114,-24.333762476206175
"Gaia DR2 3206843005212796032",79.52038739962653,0.03599464188124889,-7.842677470765068,0.03333977492266299,209.31373069851665,-24.299792371938295
"Gaia DR2 3206821977052918272",79.71104194504083,0.07899081788275078,-8.055150919541473,0.07352696668212888,209.61434001294452,-24.22435290624675
"Gaia DR2 3206767963544385024",79.89292367273454,0.07922305753205049,-8.253075215206993,0.07442772058646241,209.89607888556455,-24.14993779820931
"Gaia DR2 3206755971995689856",79.97105021949126,0.0845887019619966,-8.288573827226486,0.08188964336666288,209.9682650382914,-24.0961126628648
"Gaia DR2 3206843000916268800",79.51175543208609,2.2470747847026393,-7.847294976397901,2.109290760502471,209.31411842626318,-24.3095041784069
"Gaia DR2 3206773461102523520",79.76098727682971,0.03804172049728106,-8.129704381693857,0.03609305581742486,209.71162168538703,-24.212857166292842
"Gaia DR2 3206756178154120192",79.95965187643287,0.060901089301935316,-8.278336465202592,0.06038262494487225,209.95275963512913,-24.101742399898267
"Gaia DR2 3206826272020215936",79.6286744626574,0.24377808213115051,-7.997064007796633,0.2316126832286454,209.5176821431301,-24.271884832350167
"Gaia DR2 3206773186224616448",79.78836126445029,0.08142532490009848,-8.152481526184888,0.07705612197982205,209.7471322801684,-24.198571048493093
"Gaia DR2 3206768788178104704",79.8660438537111,0.056568992221455075,-8.220057921162319,0.0522919137099299,209.8507556986401,-24.159297839003266
"Gaia DR2 3206839878476606976",79.54135594446088,0.046045446892713435,-7.887754604538233,0.040021583344970406,209.36816867554916,-24.301122340443925
"Gaia DR2 3206773117505139968",79.78718228262474,0.02829485426435421,-8.156267915920038,0.02739425490094164,209.7502949878544,-24.201287089197468
"Gaia DR2 3206755903276213632",79.98045238501507,0.06664908930248459,-8.301401854011756,0.06271690482604918,209.98536706921777,-24.093394976943404
"Gaia DR2 3206773461102524032",79.75956075540337,0.09601483445712226,-8.134421775710962,0.09037048711906943,209.7155820402516,-24.216204131350523
"Gaia DR2 3206826340739693056",79.61961425022035,0.06513109359880925,-7.991197982012598,0.06197328890761408,209.50756099153142,-24.27734244508817
"Gaia DR2 3206839878476607232",79.54133653122996,0.07378690155582683,-7.889725928653769,0.06452204652565749,209.37009900201255,-24.302011951523028
"Gaia DR2 3206844036004948864",79.4872124136714,1.6838231672888844,-7.826642258666183,1.4830422913547838,209.28198247220303,-24.32215623427757
"Gaia DR2 3206754872484062848",80.01162353361647,0.0172893532336025,-8.333111947770643,0.01657619542823392,210.03141427548587,-24.079623449904524
"Gaia DR2 3206771738819044352",79.72093603789368,0.6085279559218006,-8.180545731501113,0.559492697259895,209.74251419530415,-24.27085032216342
"Gaia DR2 3206755387878378112",79.95815283123977,0.942442711776534,-8.329117567997848,0.9573033452865065,210.00201881853798,-24.125395223343983
"Gaia DR2 3206821942693181440",79.70028159978753,0.5061554689985012,-8.060765359515257,0.5275265010168553,209.6147089449827,-24.23639112561357
"Gaia DR2 3206843241434438144",79.48064041462456,0.2842518069013724,-7.8401991965754725,0.2744479056766054,209.2921566516969,-24.33399823706354
"Gaia DR2 3206844276523117824",79.46035117134288,0.08307628985363279,-7.812011485719774,0.07576323328778997,209.2546483561528,-24.3395316413641
"Gaia DR2 3206843894269467392",79.45850123393393,0.05459597762716078,-7.838440430767187,0.049599090241911094,209.27976393500725,-24.35288298837033
"Gaia DR2 3206772052353251456",79.8223509650809,0.04886389392620033,-8.19545934525971,0.04613065069006972,209.8056779481327,-24.18729764919486
"Gaia DR2 3206773254942333696",79.74633416138414,1.6540365884810833,-8.155235470872606,1.1610788909277043,209.7297421080899,-24.23713010073269
